,Country_Name,Series_Code,Series_Name
559,Afghanistan,7.8,Ensure environmental sustainability
618,Afghanistan,8.16,Develop a global partnership for development: Internet Use
753,Afghanistan,4.1,Reduce child mortality
1030,Afghanistan,6.1,Combat HIV/AIDS
1896,Albania,7.8,Ensure environmental sustainability
1955,Albania,8.16,Develop a global partnership for development: Internet Use
2090,Albania,4.1,Reduce child mortality
2690,Algeria,2.1,Achieve universal primary education
3233,Algeria,7.8,Ensure environmental sustainability
3292,Algeria,8.16,Develop a global partnership for development: Internet Use
3427,Algeria,4.1,Reduce child mortality
5966,Andorra,8.16,Develop a global partnership for development: Internet Use
6101,Andorra,4.1,Reduce child mortality
7244,Angola,7.8,Ensure environmental sustainability
7303,Angola,8.16,Develop a global partnership for development: Internet Use
7438,Angola,4.1,Reduce child mortality
7715,Angola,6.1,Combat HIV/AIDS
8038,Antigua and Barbuda,2.1,Achieve universal primary education
8581,Antigua and Barbuda,7.8,Ensure environmental sustainability
8640,Antigua and Barbuda,8.16,Develop a global partnership for development: Internet Use
8775,Antigua and Barbuda,4.1,Reduce child mortality
9918,Argentina,7.8,Ensure environmental sustainability
9977,Argentina,8.16,Develop a global partnership for development: Internet Use
10112,Argentina,4.1,Reduce child mortality
10389,Argentina,6.1,Combat HIV/AIDS
11255,Armenia,7.8,Ensure environmental sustainability
11314,Armenia,8.16,Develop a global partnership for development: Internet Use
11449,Armenia,4.1,Reduce child mortality
11726,Armenia,6.1,Combat HIV/AIDS
12592,Aruba,7.8,Ensure environmental sustainability
12651,Aruba,8.16,Develop a global partnership for development: Internet Use
13386,Australia,2.1,Achieve universal primary education
13988,Australia,8.16,Develop a global partnership for development: Internet Use
14123,Australia,4.1,Reduce child mortality
15325,Austria,8.16,Develop a global partnership for development: Internet Use
15460,Austria,4.1,Reduce child mortality
16060,Azerbaijan,2.1,Achieve universal primary education
16603,Azerbaijan,7.8,Ensure environmental sustainability
16662,Azerbaijan,8.16,Develop a global partnership for development: Internet Use
16797,Azerbaijan,4.1,Reduce child mortality
17074,Azerbaijan,6.1,Combat HIV/AIDS
17940,"Bahamas, The",7.8,Ensure environmental sustainability
17999,"Bahamas, The",8.16,Develop a global partnership for development: Internet Use
18134,"Bahamas, The",4.1,Reduce child mortality
18411,"Bahamas, The",6.1,Combat HIV/AIDS
19336,Bahrain,8.16,Develop a global partnership for development: Internet Use
19471,Bahrain,4.1,Reduce child mortality
20614,Bangladesh,7.8,Ensure environmental sustainability
20673,Bangladesh,8.16,Develop a global partnership for development: Internet Use
20808,Bangladesh,4.1,Reduce child mortality
21085,Bangladesh,6.1,Combat HIV/AIDS
21951,Barbados,7.8,Ensure environmental sustainability
22010,Barbados,8.16,Develop a global partnership for development: Internet Use
22145,Barbados,4.1,Reduce child mortality
22422,Barbados,6.1,Combat HIV/AIDS
23288,Belarus,7.8,Ensure environmental sustainability
23347,Belarus,8.16,Develop a global partnership for development: Internet Use
23435,Belarus,5.1,Improve maternal health
23482,Belarus,4.1,Reduce child mortality
23759,Belarus,6.1,Combat HIV/AIDS
24082,Belgium,2.1,Achieve universal primary education
24684,Belgium,8.16,Develop a global partnership for development: Internet Use
24819,Belgium,4.1,Reduce child mortality
25419,Belize,2.1,Achieve universal primary education
25962,Belize,7.8,Ensure environmental sustainability
26021,Belize,8.16,Develop a global partnership for development: Internet Use
26156,Belize,4.1,Reduce child mortality
26433,Belize,6.1,Combat HIV/AIDS
27299,Benin,7.8,Ensure environmental sustainability
27358,Benin,8.16,Develop a global partnership for development: Internet Use
27493,Benin,4.1,Reduce child mortality
27770,Benin,6.1,Combat HIV/AIDS
28695,Bermuda,8.16,Develop a global partnership for development: Internet Use
29973,Bhutan,7.8,Ensure environmental sustainability
30032,Bhutan,8.16,Develop a global partnership for development: Internet Use
30167,Bhutan,4.1,Reduce child mortality
30444,Bhutan,6.1,Combat HIV/AIDS
31310,Bolivia,7.8,Ensure environmental sustainability
31369,Bolivia,8.16,Develop a global partnership for development: Internet Use
31504,Bolivia,4.1,Reduce child mortality
31781,Bolivia,6.1,Combat HIV/AIDS
32647,Bosnia and Herzegovina,7.8,Ensure environmental sustainability
32706,Bosnia and Herzegovina,8.16,Develop a global partnership for development: Internet Use
32841,Bosnia and Herzegovina,4.1,Reduce child mortality
33984,Botswana,7.8,Ensure environmental sustainability
34043,Botswana,8.16,Develop a global partnership for development: Internet Use
34178,Botswana,4.1,Reduce child mortality
34455,Botswana,6.1,Combat HIV/AIDS
35321,Brazil,7.8,Ensure environmental sustainability
35380,Brazil,8.16,Develop a global partnership for development: Internet Use
35515,Brazil,4.1,Reduce child mortality
36717,Brunei Darussalam,8.16,Develop a global partnership for development: Internet Use
36852,Brunei Darussalam,4.1,Reduce child mortality
37452,Bulgaria,2.1,Achieve universal primary education
37995,Bulgaria,7.8,Ensure environmental sustainability
38054,Bulgaria,8.16,Develop a global partnership for development: Internet Use
38189,Bulgaria,4.1,Reduce child mortality
38789,Burkina Faso,2.1,Achieve universal primary education
39332,Burkina Faso,7.8,Ensure environmental sustainability
39391,Burkina Faso,8.16,Develop a global partnership for development: Internet Use
39526,Burkina Faso,4.1,Reduce child mortality
39803,Burkina Faso,6.1,Combat HIV/AIDS
40669,Burundi,7.8,Ensure environmental sustainability
40728,Burundi,8.16,Develop a global partnership for development: Internet Use
40863,Burundi,4.1,Reduce child mortality
41140,Burundi,6.1,Combat HIV/AIDS
41463,Cabo Verde,2.1,Achieve universal primary education
42006,Cabo Verde,7.8,Ensure environmental sustainability
42065,Cabo Verde,8.16,Develop a global partnership for development: Internet Use
42200,Cabo Verde,4.1,Reduce child mortality
42477,Cabo Verde,6.1,Combat HIV/AIDS
42800,Cambodia,2.1,Achieve universal primary education
43343,Cambodia,7.8,Ensure environmental sustainability
43402,Cambodia,8.16,Develop a global partnership for development: Internet Use
43537,Cambodia,4.1,Reduce child mortality
43814,Cambodia,6.1,Combat HIV/AIDS
44680,Cameroon,7.8,Ensure environmental sustainability
44739,Cameroon,8.16,Develop a global partnership for development: Internet Use
44874,Cameroon,4.1,Reduce child mortality
45151,Cameroon,6.1,Combat HIV/AIDS
46017,Canada,7.8,Ensure environmental sustainability
46076,Canada,8.16,Develop a global partnership for development: Internet Use
46211,Canada,4.1,Reduce child mortality
47354,Cayman Islands,7.8,Ensure environmental sustainability
47413,Cayman Islands,8.16,Develop a global partnership for development: Internet Use
48148,Central African Republic,2.1,Achieve universal primary education
48691,Central African Republic,7.8,Ensure environmental sustainability
48750,Central African Republic,8.16,Develop a global partnership for development: Internet Use
48885,Central African Republic,4.1,Reduce child mortality
50028,Chad,7.8,Ensure environmental sustainability
50087,Chad,8.16,Develop a global partnership for development: Internet Use
50222,Chad,4.1,Reduce child mortality
50499,Chad,6.1,Combat HIV/AIDS
52159,Chile,2.1,Achieve universal primary education
52702,Chile,7.8,Ensure environmental sustainability
52761,Chile,8.16,Develop a global partnership for development: Internet Use
52896,Chile,4.1,Reduce child mortality
53173,Chile,6.1,Combat HIV/AIDS
54039,China,7.8,Ensure environmental sustainability
54098,China,8.16,Develop a global partnership for development: Internet Use
54186,China,5.1,Improve maternal health
54233,China,4.1,Reduce child mortality
54833,Colombia,2.1,Achieve universal primary education
55376,Colombia,7.8,Ensure environmental sustainability
55435,Colombia,8.16,Develop a global partnership for development: Internet Use
55570,Colombia,4.1,Reduce child mortality
55847,Colombia,6.1,Combat HIV/AIDS
56772,Comoros,8.16,Develop a global partnership for development: Internet Use
56907,Comoros,4.1,Reduce child mortality
57184,Comoros,6.1,Combat HIV/AIDS
58050,"Congo, Dem. Rep.",7.8,Ensure environmental sustainability
58109,"Congo, Dem. Rep.",8.16,Develop a global partnership for development: Internet Use
58244,"Congo, Dem. Rep.",4.1,Reduce child mortality
58521,"Congo, Dem. Rep.",6.1,Combat HIV/AIDS
59387,"Congo, Rep.",7.8,Ensure environmental sustainability
59446,"Congo, Rep.",8.16,Develop a global partnership for development: Internet Use
59581,"Congo, Rep.",4.1,Reduce child mortality
59858,"Congo, Rep.",6.1,Combat HIV/AIDS
60724,Costa Rica,7.8,Ensure environmental sustainability
60783,Costa Rica,8.16,Develop a global partnership for development: Internet Use
60918,Costa Rica,4.1,Reduce child mortality
61195,Costa Rica,6.1,Combat HIV/AIDS
62061,Cote d'Ivoire,7.8,Ensure environmental sustainability
62120,Cote d'Ivoire,8.16,Develop a global partnership for development: Internet Use
62255,Cote d'Ivoire,4.1,Reduce child mortality
62532,Cote d'Ivoire,6.1,Combat HIV/AIDS
62855,Croatia,2.1,Achieve universal primary education
63398,Croatia,7.8,Ensure environmental sustainability
63457,Croatia,8.16,Develop a global partnership for development: Internet Use
63592,Croatia,4.1,Reduce child mortality
64192,Cuba,2.1,Achieve universal primary education
64735,Cuba,7.8,Ensure environmental sustainability
64794,Cuba,8.16,Develop a global partnership for development: Internet Use
64882,Cuba,5.1,Improve maternal health
64929,Cuba,4.1,Reduce child mortality
65206,Cuba,6.1,Combat HIV/AIDS
66866,Cyprus,2.1,Achieve universal primary education
67468,Cyprus,8.16,Develop a global partnership for development: Internet Use
67603,Cyprus,4.1,Reduce child mortality
68746,Czech Republic,7.8,Ensure environmental sustainability
68805,Czech Republic,8.16,Develop a global partnership for development: Internet Use
68940,Czech Republic,4.1,Reduce child mortality
69540,Denmark,2.1,Achieve universal primary education
70142,Denmark,8.16,Develop a global partnership for development: Internet Use
70277,Denmark,4.1,Reduce child mortality
71420,Djibouti,7.8,Ensure environmental sustainability
71479,Djibouti,8.16,Develop a global partnership for development: Internet Use
71614,Djibouti,4.1,Reduce child mortality
71891,Djibouti,6.1,Combat HIV/AIDS
72816,Dominica,8.16,Develop a global partnership for development: Internet Use
72951,Dominica,4.1,Reduce child mortality
73551,Dominican Republic,2.1,Achieve universal primary education
74094,Dominican Republic,7.8,Ensure environmental sustainability
74153,Dominican Republic,8.16,Develop a global partnership for development: Internet Use
74288,Dominican Republic,4.1,Reduce child mortality
74565,Dominican Republic,6.1,Combat HIV/AIDS
75431,Ecuador,7.8,Ensure environmental sustainability
75490,Ecuador,8.16,Develop a global partnership for development: Internet Use
75625,Ecuador,4.1,Reduce child mortality
75902,Ecuador,6.1,Combat HIV/AIDS
76768,"Egypt, Arab Rep.",7.8,Ensure environmental sustainability
76827,"Egypt, Arab Rep.",8.16,Develop a global partnership for development: Internet Use
76962,"Egypt, Arab Rep.",4.1,Reduce child mortality
77239,"Egypt, Arab Rep.",6.1,Combat HIV/AIDS
77562,El Salvador,2.1,Achieve universal primary education
78105,El Salvador,7.8,Ensure environmental sustainability
78164,El Salvador,8.16,Develop a global partnership for development: Internet Use
78299,El Salvador,4.1,Reduce child mortality
78576,El Salvador,6.1,Combat HIV/AIDS
79501,Equatorial Guinea,8.16,Develop a global partnership for development: Internet Use
79636,Equatorial Guinea,4.1,Reduce child mortality
79913,Equatorial Guinea,6.1,Combat HIV/AIDS
80236,Eritrea,2.1,Achieve universal primary education
80838,Eritrea,8.16,Develop a global partnership for development: Internet Use
80973,Eritrea,4.1,Reduce child mortality
81250,Eritrea,6.1,Combat HIV/AIDS
81573,Estonia,2.1,Achieve universal primary education
82116,Estonia,7.8,Ensure environmental sustainability
82175,Estonia,8.16,Develop a global partnership for development: Internet Use
82310,Estonia,4.1,Reduce child mortality
83453,Ethiopia,7.8,Ensure environmental sustainability
83512,Ethiopia,8.16,Develop a global partnership for development: Internet Use
83647,Ethiopia,4.1,Reduce child mortality
83924,Ethiopia,6.1,Combat HIV/AIDS
84849,Faeroe Islands,8.16,Develop a global partnership for development: Internet Use
85584,Fiji,2.1,Achieve universal primary education
86127,Fiji,7.8,Ensure environmental sustainability
86186,Fiji,8.16,Develop a global partnership for development: Internet Use
86321,Fiji,4.1,Reduce child mortality
86598,Fiji,6.1,Combat HIV/AIDS
86921,Finland,2.1,Achieve universal primary education
87523,Finland,8.16,Develop a global partnership for development: Internet Use
87658,Finland,4.1,Reduce child mortality
88258,France,2.1,Achieve universal primary education
88860,France,8.16,Develop a global partnership for development: Internet Use
88995,France,4.1,Reduce child mortality
90197,French Polynesia,8.16,Develop a global partnership for development: Internet Use
91475,Gabon,7.8,Ensure environmental sustainability
91534,Gabon,8.16,Develop a global partnership for development: Internet Use
91669,Gabon,4.1,Reduce child mortality
91946,Gabon,6.1,Combat HIV/AIDS
92269,"Gambia, The",2.1,Achieve universal primary education
92812,"Gambia, The",7.8,Ensure environmental sustainability
92871,"Gambia, The",8.16,Develop a global partnership for development: Internet Use
93006,"Gambia, The",4.1,Reduce child mortality
93283,"Gambia, The",6.1,Combat HIV/AIDS
94149,Georgia,7.8,Ensure environmental sustainability
94208,Georgia,8.16,Develop a global partnership for development: Internet Use
94343,Georgia,4.1,Reduce child mortality
94620,Georgia,6.1,Combat HIV/AIDS
94943,Germany,2.1,Achieve universal primary education
95545,Germany,8.16,Develop a global partnership for development: Internet Use
95680,Germany,4.1,Reduce child mortality
96280,Ghana,2.1,Achieve universal primary education
96823,Ghana,7.8,Ensure environmental sustainability
96882,Ghana,8.16,Develop a global partnership for development: Internet Use
97017,Ghana,4.1,Reduce child mortality
97294,Ghana,6.1,Combat HIV/AIDS
98160,Greece,7.8,Ensure environmental sustainability
98219,Greece,8.16,Develop a global partnership for development: Internet Use
98354,Greece,4.1,Reduce child mortality
99556,Greenland,8.16,Develop a global partnership for development: Internet Use
100834,Grenada,7.8,Ensure environmental sustainability
100893,Grenada,8.16,Develop a global partnership for development: Internet Use
101028,Grenada,4.1,Reduce child mortality
102171,Guam,7.8,Ensure environmental sustainability
102230,Guam,8.16,Develop a global partnership for development: Internet Use
103508,Guatemala,7.8,Ensure environmental sustainability
103567,Guatemala,8.16,Develop a global partnership for development: Internet Use
103702,Guatemala,4.1,Reduce child mortality
103979,Guatemala,6.1,Combat HIV/AIDS
104302,Guinea,2.1,Achieve universal primary education
104845,Guinea,7.8,Ensure environmental sustainability
104904,Guinea,8.16,Develop a global partnership for development: Internet Use
105039,Guinea,4.1,Reduce child mortality
105316,Guinea,6.1,Combat HIV/AIDS
105595,Guinea,6.7,Combat malaria and other diseases
106182,Guinea-Bissau,7.8,Ensure environmental sustainability
106241,Guinea-Bissau,8.16,Develop a global partnership for development: Internet Use
106376,Guinea-Bissau,4.1,Reduce child mortality
106653,Guinea-Bissau,6.1,Combat HIV/AIDS
107519,Guyana,7.8,Ensure environmental sustainability
107578,Guyana,8.16,Develop a global partnership for development: Internet Use
107713,Guyana,4.1,Reduce child mortality
107990,Guyana,6.1,Combat HIV/AIDS
108856,Haiti,7.8,Ensure environmental sustainability
108915,Haiti,8.16,Develop a global partnership for development: Internet Use
109050,Haiti,4.1,Reduce child mortality
109327,Haiti,6.1,Combat HIV/AIDS
109650,Honduras,2.1,Achieve universal primary education
110193,Honduras,7.8,Ensure environmental sustainability
110252,Honduras,8.16,Develop a global partnership for development: Internet Use
110387,Honduras,4.1,Reduce child mortality
110664,Honduras,6.1,Combat HIV/AIDS
110987,"Hong Kong SAR, China",2.1,Achieve universal primary education
111589,"Hong Kong SAR, China",8.16,Develop a global partnership for development: Internet Use
112324,Hungary,2.1,Achieve universal primary education
112926,Hungary,8.16,Develop a global partnership for development: Internet Use
113061,Hungary,4.1,Reduce child mortality
114263,Iceland,8.16,Develop a global partnership for development: Internet Use
114398,Iceland,4.1,Reduce child mortality
115541,India,7.8,Ensure environmental sustainability
115600,India,8.16,Develop a global partnership for development: Internet Use
115735,India,4.1,Reduce child mortality
116012,India,6.1,Combat HIV/AIDS
116335,Indonesia,2.1,Achieve universal primary education
116878,Indonesia,7.8,Ensure environmental sustainability
116937,Indonesia,8.16,Develop a global partnership for development: Internet Use
117072,Indonesia,4.1,Reduce child mortality
117349,Indonesia,6.1,Combat HIV/AIDS
118215,"Iran, Islamic Rep.",7.8,Ensure environmental sustainability
118274,"Iran, Islamic Rep.",8.16,Develop a global partnership for development: Internet Use
118409,"Iran, Islamic Rep.",4.1,Reduce child mortality
118686,"Iran, Islamic Rep.",6.1,Combat HIV/AIDS
119552,Iraq,7.8,Ensure environmental sustainability
119611,Iraq,8.16,Develop a global partnership for development: Internet Use
119746,Iraq,4.1,Reduce child mortality
120346,Ireland,2.1,Achieve universal primary education
120889,Ireland,7.8,Ensure environmental sustainability
120948,Ireland,8.16,Develop a global partnership for development: Internet Use
121083,Ireland,4.1,Reduce child mortality
123622,Israel,8.16,Develop a global partnership for development: Internet Use
123757,Israel,4.1,Reduce child mortality
124959,Italy,8.16,Develop a global partnership for development: Internet Use
125094,Italy,4.1,Reduce child mortality
126237,Jamaica,7.8,Ensure environmental sustainability
126296,Jamaica,8.16,Develop a global partnership for development: Internet Use
126431,Jamaica,4.1,Reduce child mortality
126708,Jamaica,6.1,Combat HIV/AIDS
127031,Japan,2.1,Achieve universal primary education
127633,Japan,8.16,Develop a global partnership for development: Internet Use
127768,Japan,4.1,Reduce child mortality
128368,Jordan,2.1,Achieve universal primary education
128911,Jordan,7.8,Ensure environmental sustainability
128970,Jordan,8.16,Develop a global partnership for development: Internet Use
129105,Jordan,4.1,Reduce child mortality
129705,Kazakhstan,2.1,Achieve universal primary education
130248,Kazakhstan,7.8,Ensure environmental sustainability
130307,Kazakhstan,8.16,Develop a global partnership for development: Internet Use
130442,Kazakhstan,4.1,Reduce child mortality
131585,Kenya,7.8,Ensure environmental sustainability
131644,Kenya,8.16,Develop a global partnership for development: Internet Use
131779,Kenya,4.1,Reduce child mortality
132056,Kenya,6.1,Combat HIV/AIDS
132922,Kiribati,7.8,Ensure environmental sustainability
132981,Kiribati,8.16,Develop a global partnership for development: Internet Use
133116,Kiribati,4.1,Reduce child mortality
134259,"Korea, Dem. Rep.",7.8,Ensure environmental sustainability
134453,"Korea, Dem. Rep.",4.1,Reduce child mortality
135053,"Korea, Rep.",2.1,Achieve universal primary education
135596,"Korea, Rep.",7.8,Ensure environmental sustainability
135655,"Korea, Rep.",8.16,Develop a global partnership for development: Internet Use
135790,"Korea, Rep.",4.1,Reduce child mortality
138270,Kuwait,7.8,Ensure environmental sustainability
138329,Kuwait,8.16,Develop a global partnership for development: Internet Use
138464,Kuwait,4.1,Reduce child mortality
139064,Kyrgyz Republic,2.1,Achieve universal primary education
139607,Kyrgyz Republic,7.8,Ensure environmental sustainability
139666,Kyrgyz Republic,8.16,Develop a global partnership for development: Internet Use
139801,Kyrgyz Republic,4.1,Reduce child mortality
140078,Kyrgyz Republic,6.1,Combat HIV/AIDS
140401,Lao PDR,2.1,Achieve universal primary education
140944,Lao PDR,7.8,Ensure environmental sustainability
141003,Lao PDR,8.16,Develop a global partnership for development: Internet Use
141138,Lao PDR,4.1,Reduce child mortality
141415,Lao PDR,6.1,Combat HIV/AIDS
142281,Latvia,7.8,Ensure environmental sustainability
142340,Latvia,8.16,Develop a global partnership for development: Internet Use
142475,Latvia,4.1,Reduce child mortality
143075,Lebanon,2.1,Achieve universal primary education
143677,Lebanon,8.16,Develop a global partnership for development: Internet Use
143812,Lebanon,4.1,Reduce child mortality
