,2005,2006,2007
145014,0.025802454841944898,0.029797081872448606,0.034454312597087304
145149,0.1229,0.1226,0.1197
145426,0.227,0.225,0.225
146292,0.6679999999999999,0.679,0.69
146351,0.00551376580555429,0.00551376580555429,0.00551376580555429
146486,0.1185,0.1088,0.1003
146763,0.019,0.018000000000000002,0.016
147823,0.0231,0.0217,0.0203
149025,0.6337135614702161,0.642141613630526,0.6508021844316799
149760,0.9367768,0.96065,0.9896045
150303,0.93,0.934,0.938
150362,0.3622,0.439,0.499
150497,0.0099,0.0095,0.0089
151699,0.7,0.7251000000000001,0.7892
151834,0.0035,0.0033,0.003
153036,0.348629271733959,0.464,0.47327
153771,0.9274374,0.9261067,0.9316653
154314,0.993,0.993,0.993
154373,0.2645,0.2862,0.363
154508,0.0137,0.0131,0.0124
155651,0.426,0.436,0.446
155710,0.00567721802237403,0.00607552238860378,0.006500000000000001
155845,0.0814,0.0767,0.0725
156122,0.006999999999999999,0.006999999999999999,0.006
156988,0.7190000000000001,0.738,0.757
157047,0.0038448933408278202,0.004251374896065629,0.00965864736553132
157182,0.1198,0.1114,0.1034
157459,0.134,0.129,0.124
158325,0.995,0.995,0.996
158384,0.48629170245984005,0.516379889864403,0.557
158519,0.008199999999999999,0.0081,0.0081
158796,0.004,0.004,0.004
159662,0.969,0.972,0.975
159721,0.06869605066962149,0.11036352782864699,0.163
159856,0.0238,0.021,0.0185
160133,0.001,0.001,0.001
160999,0.545,0.563,0.581
161058,0.005070631359522471,0.007296272808331009,0.008100000000000001
161193,0.1731,0.16419999999999998,0.15619999999999998
161470,0.013,0.013,0.012
162395,0.4124,0.4041,0.469
162530,0.0068,0.0068,0.0068
163673,0.937,0.938,0.939
163732,0.038787023977433,0.0379559021427832,0.0395
163867,0.0402,0.0398,0.0396
164467,0.7107951,0.7366189000000001,0.7451323000000001
165010,0.455,0.465,0.475
165069,0.0066996647487759685,0.0097966125273203,0.0143361319586788
165204,0.1017,0.0993,0.0968
165481,0.006999999999999999,0.006999999999999999,0.006
165804,0.9635109000000001,0.9627155,0.9683297
166347,0.995,0.995,0.996
166406,0.15172228752491398,0.16699999999999998,0.2022
166541,0.0158,0.016,0.0162
166818,0.011,0.012,0.012
167141,0.9542273000000001,0.9458558,0.944599
167684,0.913,0.919,0.924
167743,0.1721,0.1952,0.2081
167878,0.0195,0.0189,0.0184
168155,0.003,0.003,0.003
169021,0.897,0.8959999999999999,0.895
169080,0.11881369099300802,0.127503392500979,0.136211327333981
169215,0.0476,0.0461,0.0447
169815,0.9337200000000001,0.9063448000000001,0.9001170000000001
170358,0.945,0.948,0.951
170417,0.14630270455179598,0.19620647705163397,0.2045
170505,0.000186,0.00016,0.00015800000000000002
170552,0.023,0.022000000000000002,0.0211
170829,0.006,0.006,0.006
171754,0.554648260561427,0.614760397135217,0.6437768240343349
171889,0.0045,0.0044,0.0043
172489,0.9243594,0.9748521000000001,0.9771315
173032,0.758,0.772,0.785
173091,0.09,0.09,0.09
173226,0.0427,0.0394,0.0365
173503,0.001,0.001,0.001
173826,0.9791655,0.982617,0.958636
174369,0.98,0.98,0.98
174428,0.271,0.289,0.308
174563,0.0105,0.0098,0.009000000000000001
175163,0.8585491000000001,0.8724004000000001,0.8866755000000001
175706,0.804,0.809,0.813
175765,0.15084444524020402,0.197711915653115,0.215
175900,0.0407,0.0391,0.0376
176177,0.001,0.001,0.001
176500,0.7550469,0.797834,0.8500825000000001
177043,0.445,0.451,0.458
177102,0.00854357118107528,0.008429544880442359,0.0091
177237,0.1315,0.1257,0.1184
177514,0.113,0.114,0.115
178380,0.748,0.764,0.78
178439,0.000652388555011476,0.0018204833106115,0.00217128445069958
178574,0.06659999999999999,0.0644,0.06220000000000001
178851,0.008,0.008,0.006999999999999999
179174,0.8826715,0.8685506,0.8799364
179717,0.846,0.857,0.867
179776,0.0401004664442375,0.0439887064732726,0.0483561077833704
179911,0.06720000000000001,0.0615,0.0573
180188,0.149,0.146,0.14300000000000002
181054,0.818,0.828,0.8370000000000001
181113,0.0082655126590551,0.0114138916388191,0.0141
181248,0.0605,0.057,0.053700000000000005
181525,0.005,0.005,0.004
181848,0.9795073000000001,0.9863107,0.9947973
182450,0.81,0.8370000000000001,0.8582
182585,0.0054,0.0052,0.005
183728,0.955,0.96,0.965
183787,0.323590147531561,0.335157146807209,0.3505
184522,0.9910162,0.9915169,0.9949954
185124,0.627202123689541,0.69,0.6976
185259,0.0066,0.0065,0.0063
186402,0.8290000000000001,0.835,0.841
186461,0.0256635117656203,0.028055730627337,0.039
186596,0.0316,0.0303,0.0291
186873,0.001,0.001,0.001
187196,0.4275672,0.4407043,0.4530291
187739,0.462,0.471,0.479
187798,0.00221341351487395,0.00294033977096223,0.0039039061976208203
187933,0.174,0.16340000000000002,0.1531
188210,0.009000000000000001,0.009000000000000001,0.008
189076,0.589,0.597,0.605
189135,0.0354915571796492,0.055450360830053606,0.0677
189270,0.15819999999999998,0.1525,0.14709999999999998
189547,0.037000000000000005,0.037000000000000005,0.036000000000000004
190413,0.964,0.966,0.967
191207,0.9860261,0.9863914,0.9912963
191809,0.8199,0.8255,0.8693000000000001
191944,0.004,0.0039,0.0037
193087,0.877,0.885,0.892
193146,0.0668358142020519,0.08299716672502999,0.1668
193281,0.0134,0.013000000000000001,0.0126
193881,0.6526311,0.630132,0.679307
194424,0.897,0.9,0.903
194483,0.0633232909830782,0.065,0.068
194618,0.1005,0.0984,0.0963
194895,0.001,0.001,0.001
195955,0.0254,0.0247,0.024
196555,0.9655936,0.9701930000000001,0.9739372
197098,0.924,0.927,0.93
197157,0.114840092783071,0.173495661695931,0.2229
197292,0.0228,0.0222,0.0216
197569,0.009000000000000001,0.009000000000000001,0.008
198435,0.368,0.3720000000000001,0.376
198494,0.0171619047556782,0.01754487260668,0.0179055936140245
198629,0.0747,0.0734,0.0719
198906,0.006999999999999999,0.006999999999999999,0.006999999999999999
199772,0.826,0.8440000000000001,0.861
199831,0.0790700786141285,0.0796207388394416,0.1121
199966,0.0278,0.0269,0.026000000000000002
200243,0.002,0.002,0.002
201109,0.8340000000000001,0.8390000000000001,0.8440000000000001
201168,0.171,0.207,0.252
201303,0.0281,0.0263,0.0246
201580,0.005,0.005,0.004
202446,0.897,0.901,0.906
202505,0.053976363293955,0.0574058632534702,0.0597
202640,0.0362,0.0354,0.0344
202917,0.001,0.001,0.001
203240,0.9541654,0.9547764000000001,0.9545955
203842,0.3881,0.4458,0.486
203977,0.0075,0.0073,0.0071
205120,0.988,0.989,0.991
205179,0.34990000000000004,0.3801,0.4209000000000001
205314,0.0047,0.0044,0.004200000000000001
206516,0.23400050448658302,0.254424182102582,0.2786
207853,0.24733493781051002,0.289741127135829,0.37
207988,0.0102,0.0098,0.0093
208588,0.9881363,0.951093,0.9444726000000001
209190,0.215,0.2466,0.28300000000000003
209325,0.0213,0.0194,0.0175
209925,0.9269613999999999,0.9269613999999999,0.9328262
210468,0.96,0.962,0.964
210527,0.152266731976522,0.18023277461721599,0.2466
210662,0.0167,0.0156,0.0145
211805,0.685,0.688,0.691
211864,0.00556041164839515,0.013357141715485275,0.0211538717825754
211999,0.1065,0.0948,0.0845
212276,0.033,0.031,0.031
213142,0.955,0.959,0.963
213201,0.033525921124682896,0.0446917387320954,0.0474998323535329
213336,0.0191,0.0189,0.0187
214538,0.502595641966736,0.502086593635889,0.503648221088655
214673,0.004200000000000001,0.0041,0.0039
215816,0.87,0.887,0.904
215875,0.13759484215905998,0.141820197774712,0.145904831987414
216010,0.0696,0.0665,0.0638
216287,0.015,0.015,0.015
217153,0.967,0.97,0.97
217212,0.12705035988284902,0.19459554351363398,0.3
217347,0.0153,0.0141,0.0129
217947,0.7383723000000001,0.7293550000000001,0.7416941999999999
218490,0.695,0.7020000000000001,0.708
218549,0.04786684083105351,0.0561173865217952,0.077
218684,0.099,0.0913,0.084
218961,0.006,0.006,0.006
219284,0.9970359,0.9986248,0.9834468000000001
219827,0.994,0.993,0.993
219886,0.263,0.272,0.3315
220021,0.0088,0.008400000000000001,0.0081
221164,0.963,0.963,0.963
221223,0.254132681462836,0.3495197117065,0.3838
221358,0.0139,0.0139,0.0139
222501,0.525,0.536,0.547
222560,0.0021539161034012893,0.00227669467190838,0.0023983469854623298
222695,0.2156,0.2117,0.2074
222972,0.016,0.016,0.017
223897,0.61,0.59,0.6990000000000001
224032,0.0029,0.0029,0.0028
226571,0.5519,0.5608,0.618
226706,0.0098,0.0095,0.0091
227306,0.9780495000000001,0.9683648,0.9693902
227849,0.996,0.996,0.996
227908,0.4681,0.5401,0.5674
228043,0.0043,0.0041,0.0039
229186,0.8,0.8009999999999999,0.802
229245,0.00844307572805697,0.0164634798857435,0.02
229380,0.0355,0.0353,0.035
230582,0.0107732783912096,0.0110021636808277,0.0112223562161375
230717,0.1706,0.1699,0.1681
230994,0.006,0.006,0.006
231317,0.9487591,0.9529716999999999,0.9677362
231860,0.905,0.912,0.919
231919,0.0748854252992921,0.07607139674773811,0.0806537517355504
232054,0.07909999999999999,0.0765,0.0725
232331,0.171,0.172,0.173
233391,0.1395,0.1331,0.1268
233668,0.032,0.032,0.031
233991,0.9965848,0.9971764,0.9978187
234593,0.4788,0.5036999999999999,0.5511
234728,0.0057,0.0055,0.0053
235328,0.9551934999999999,0.9515287,0.9507928
235871,0.853,0.865,0.877
235930,0.017920467939258798,0.0253756612897332,0.0388
236065,0.0133,0.0126,0.0118
236342,0.001,0.001,0.001
236665,0.956291,0.92735305,0.8984151
237208,0.983,0.983,0.983
237267,0.34,0.49,0.52
237402,0.0125,0.0118,0.0112
238002,0.9278468000000001,0.9517599,0.9412193
238545,0.938,0.938,0.938
238604,0.21567582946421496,0.245,0.279
238739,0.0184,0.0187,0.0187
240676,0.9827940000000001,0.98354725,0.9843005
241219,0.951,0.951,0.951
241278,0.0919827808234299,0.12,0.16
241413,0.0229,0.0232,0.0235
242556,0.584,0.5770000000000001,0.57
242750,0.0905,0.0877,0.0851
243893,0.918,0.923,0.928
243952,0.0640308628759062,0.0949962694173364,0.1411
244087,0.0264,0.0254,0.0245
244364,0.011,0.011,0.011
245230,0.61,0.629,0.647
245289,0.0369696107291824,0.0369653878906882,0.041
245424,0.1272,0.1223,0.11699999999999999
245701,0.256,0.256,0.258
246024,0.9546892,0.9514267,0.9625885000000001
246626,0.8482999999999999,0.8776,0.8201
246761,0.0036,0.0034,0.0033
247361,0.9808124,0.9771798,0.9780639000000001
247963,0.701,0.757,0.772
248098,0.0051,0.005,0.004900000000000001
249241,0.887,0.889,0.8909999999999999
249300,0.0564810604883917,0.0783255156888787,0.115
249435,0.0188,0.018000000000000002,0.0172
250035,0.9743046000000001,0.9728319,0.9644674
250578,0.6459999999999999,0.6559999999999999,0.6659999999999999
250637,0.00298690023682825,0.0377240620666448,0.0719761951797855
250772,0.0741,0.0716,0.0692
251049,0.001,0.002,0.002
251915,0.539,0.5379999999999999,0.537
251974,0.011,0.013,0.016
252109,0.0901,0.0835,0.0772
252386,0.063,0.06,0.058
253252,0.943,0.948,0.953
253311,0.15026004358890901,0.17160714716928502,0.2003
253446,0.0176,0.016800000000000002,0.016
253723,0.014,0.014,0.013
254589,0.609,0.622,0.636
254648,0.000990317678179026,0.00116628276525644,0.0014095876392320199
254783,0.0799,0.07540000000000001,0.0713
255926,0.56,0.5660000000000001,0.5710000000000001
255985,0.018000000000000002,0.02,0.022
256120,0.1118,0.1099,0.1079
256397,0.043,0.041,0.039
257263,0.987,0.988,0.989
257322,0.0490778276190383,0.0585394409483389,0.0717986532901248
257457,0.0158,0.0154,0.015
258659,0.28976712432678403,0.300037485791676,0.32299999999999995
258794,0.0251,0.0245,0.0239
259071,0.014,0.015,0.015
259394,0.9735459999999999,0.9859581000000001,0.9873026
259937,0.928,0.934,0.94
259996,0.0965508654217982,0.129864086534204,0.171
260131,0.0226,0.0215,0.0204
260408,0.001,0.001,0.001
260731,0.9778758,0.9819209000000001,0.9861030000000001
261274,0.964,0.971,0.978
261333,0.15460000000000002,0.1824,0.2863
261468,0.0239,0.0218,0.0198
262611,0.753,0.738,0.722
262670,0.009972565585429591,0.013195731180963002,0.0140636068812023
262805,0.0665,0.0644,0.0624
265285,0.96,0.964,0.969
265344,0.1,0.1,0.1
265479,0.0366,0.0356,0.0346
266622,0.6409999999999999,0.6559999999999999,0.6709999999999999
266681,0.017422055032438998,0.0252936303826279,0.0367196535074744
266816,0.1086,0.1013,0.0946
267093,0.062,0.064,0.065
267416,0.9050589,0.8961197,0.8937457000000001
267959,0.975,0.976,0.977
268018,0.037497644146589994,0.0450612456357379,0.0655
268153,0.0145,0.013999999999999999,0.0135
268430,0.01,0.01,0.01
269296,0.997,0.997,0.996
269355,0.4,0.52,0.61
269490,0.0098,0.0096,0.0094
270090,0.9998815,0.9974921,0.9848353000000001
270692,0.7,0.6881999999999999,0.7509
270827,0.006,0.005900000000000001,0.0058
271427,0.9418642,0.9516081000000001,0.9611884
271970,0.99,0.99,0.99
272029,0.6796805291500201,0.689311932699721,0.75
272164,0.008,0.0079,0.0078
273307,0.981,0.983,0.985
273366,0.20088189557930505,0.294,0.34
273501,0.0155,0.0146,0.0134
273778,0.006999999999999999,0.006999999999999999,0.006999999999999999
274644,0.878,0.8759999999999999,0.875
274703,0.033435098882595195,0.0638832196706805,0.0749060468138629
274838,0.0506,0.0489,0.0473
275115,0.002,0.002,0.002
275981,0.828,0.841,0.8540000000000001
276040,0.0508233380768449,0.0585058505850585,0.068
276175,0.022000000000000002,0.0214,0.0208
276775,0.9256863000000001,0.9317744000000001,0.9409598
277377,0.12552997909829902,0.15224711477178698,0.2083
277512,0.0184,0.0178,0.0172
277789,0.006,0.006,0.006
278655,0.85,0.865,0.88
278714,0.127399292907031,0.172545617186662,0.20755444767975295
278849,0.0261,0.0252,0.0245
279126,0.004,0.004,0.004
280051,0.273443196733265,0.273326105376325,0.273393358364014
280786,0.8325143,0.8406126999999999,0.8399530000000001
281329,0.857,0.845,0.8320000000000001
281388,0.16005,0.1841,0.21176
281523,0.0267,0.0262,0.0256
282666,0.565,0.557,0.55
282725,0.010485979341782602,0.0124782404904485,0.0501
282860,0.0778,0.0746,0.0717
283137,0.001,0.001,0.001
283460,0.9521923000000001,0.9439426,0.9507903
284003,0.575,0.583,0.5920000000000001
284062,0.0285175226129009,0.0415991339393107,0.0487
284197,0.127,0.1204,0.1146
284474,0.138,0.136,0.134
285340,0.797,0.797,0.797
285399,0.0801597808880485,0.0979184150186944,0.1085
285534,0.0966,0.0958,0.096
285811,0.184,0.173,0.16399999999999998
